(anecdotes/miscellaneous#service),"In mi burrito, here was nothing but dark chicken that had that cooked last week and just warmed up in a microwave taste."
(service),perfect for a quick meal.
(anecdotes/miscellaneous),"However, the food and service and dramatically lacking."
(food#anecdotes/miscellaneous#service),"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants."
(anecdotes/miscellaneous#service),"Perfectly al dente pasta, not drowned in sauce -- generous portions."
(service),Sweet Irish bartender is always happy and able to bring a smile to my friends a my face.
(food),The sushi is cut in blocks bigger than my cell phone.
(anecdotes/miscellaneous),"This place is Italian, not French."
(anecdotes/miscellaneous),"Weekends can get crowded, but still highly recommended."
(food#anecdotes/miscellaneous#service),"The comments about fried foods is correct (below) but the other dishes, including the lamb entree and many of the salads (avocado shrimp) were quite good."
(anecdotes/miscellaneous),Whatever the reason it is definitely the place to be.
(food),"Not only do they have the best escargot in town,they always try to accomodate our toddler."
(food),"BTW, the service is very good ."
(service),Staff is accomodating make sure you are satified.
(food#service),last Tuesday for a late lunch with a friend.
(food),Service was awful - mostly because staff were overwhelmed on a Saturday night.
(anecdotes/miscellaneous),"Unfortunately, we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport."
(anecdotes/miscellaneous),"And the food, well the food will keep you coming back."
(food#service),This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.
(anecdotes/miscellaneous),"Slow service, but when you're hanging around with groups of 10 or 20, who really notices?"
(anecdotes/miscellaneous),I WAS HIGHLY DISAPPOINTED BY THE FOOD.
(anecdotes/miscellaneous),"If you're in the 'hood, definitely stop in."
(service),"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess."
(food#anecdotes/miscellaneous),"Although small, it has beautiful ambience, excellent food (the catfish is delicious - if ya don't mind it a lil salty) and attentive service."
(anecdotes/miscellaneous),We loved it and will go back!
(food#service),"No green beans, no egg, no anchovy dressing, no nicoise olives, no red onion."
(service),Meal was very expensive for what you get.
(anecdotes/miscellaneous),"So we sat at the bar, the bartender didn't seem like he wanted to be there."
(anecdotes/miscellaneous),"I trust the people at Go Sushi, it never disappoints."
(food),good food good wine that's it.
(anecdotes/miscellaneous),"Fresh veggies, all sorts of middle eastern spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... soooo much fooood, and all of it delicious."
(food),Food is excellent quality for a good restaurant price.
(anecdotes/miscellaneous),"And, the honey BBQ rib tips are yummy!"
(anecdotes/miscellaneous),We spent so much time getting elbowed around while we waited we left.
(anecdotes/miscellaneous),Stay away if you're claustrophobic
(anecdotes/miscellaneous),"Not because I was pregnant, but the food here is always delicious."
(anecdotes/miscellaneous),DON'T KNOW WHAT THE OTHERS ON THE BLOCK WERE LIKE BUT WE WERE PLEASED WITH OUR CHOICE.
(price#anecdotes/miscellaneous),"I got the opportunity to dine at your establishment again a few weeks ago, I was in your upstrairs dining area."
(food#ambience#service),Whether your choose the iced blended mocha or the hot white mocha you are sure to be extremely happy.
(anecdotes/miscellaneous),Before the place didn't call my attention.
(food),"The cold sesame noodles, which are a freebie when you order $10+, are delectable."
(food#anecdotes/miscellaneous#service),"The other times I've gone it's romantic date heaven, you can walk in get a booth by the windows, be treated like a VIP in a not-crowded place, with great food and service."
(anecdotes/miscellaneous),the food is delicious and highly recommended.
(food),mojitos and the service are the best part in there
(anecdotes/miscellaneous#service),We were so happy with our food and were even more thrilled when we saw the bill.
(food),I would only go for the coffee which is way better than Starbucks or the like.
(anecdotes/miscellaneous),"After I paid for my purchase, I noticed they had not given me utensils so I could eat my pie."
(anecdotes/miscellaneous),My husband and I had a blast.
(ambience),My personal favorite is Nick and Joe's.
(food#service),"Too bad, has a lot of potential."
(anecdotes/miscellaneous),We live in the neighborhood and have been going there twice a week since the day they first opened.
(food),"But dinner here is never disappointing, even if the prices are a bit over the top."
(food),The food is great and the milkshakes are even better!
(food#anecdotes/miscellaneous),"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu."
(anecdotes/miscellaneous),It's the conversations that make this a fun place to be.
(anecdotes/miscellaneous),My friend had a burger and I had these wonderful blueberry pancakes.
(anecdotes/miscellaneous),I have been in NYC for over 10 years and could not find this delicacy east of the Hudson .
(anecdotes/miscellaneous#service),Owner is pleasant and entertaining.
(food#anecdotes/miscellaneous#service),"The atmosphere is warm, comfortable, artsy and sexy."
(anecdotes/miscellaneous),I had to flag down a third staff person for a fork... so now it's goodbye Little RUDE Pie Company.
(food),"The waiters were very professional, courteous and attentive."
(anecdotes/miscellaneous),"I have never in my life sent back food before, but I simply had to, and the waiter argued with me over this."
(anecdotes/miscellaneous),Would not return for the amount we paid.
(anecdotes/miscellaneous),The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.
(food#service),"However, there is just something so great about being outdoors, in great landscaping, enjoying a casual drink that makes going to this place worthwhile."
(service),went there last night with my coworker.
(anecdotes/miscellaneous#service),"It doesn't look like much on the outside, but the minute you walk inside, it's a whole other atmosphere."
(anecdotes/miscellaneous),I was pleasently surprised at the taste.
(anecdotes/miscellaneous#service),"during busy hrs, i recommend that you make a reservation."
(anecdotes/miscellaneous),"The closest that I got was the Cherry Marscapone, but they were out of it that day."
(anecdotes/miscellaneous),"The sauce may not be for everyone, since it is distintive."
(anecdotes/miscellaneous),Waiting three hours before getting our entrees was a treat as well.
(food),"The food is surprisingly good, and the decor is nice."
(food),"Also, the staff is very attentive and really personable."
(food),"Stick to the items the place does best, brisket, ribs, wings, cajun shrimp is good, not great."
(price),"OK, I've been to Dumont a few times now."
(anecdotes/miscellaneous),"However, the service is absolutely horrible."
(food#service),"Unfortunately, unless you live in the neighborhood, it's not in a convenient location but is more like a hidden treasure."
(food),With all the mundane or mediocre places on 8th avenue it is nice to have one that is a step above in quaility and atmosphere.
(food#anecdotes/miscellaneous),"SUM IT: local investment bankers like it, try for yourself at least once."
(food),The staff is very friendly.
(food#anecdotes/miscellaneous),The waiters ALWAYS look angry and even ignore their high-tipping regulars.
(food),The music which is sometimes a little too heavy for my taste.
(food),"Not to be overlooked, the service is excellent."
(food#service),"This place is classy, chic, the service is warm and hospitable, and the food is outstanding."
(anecdotes/miscellaneous),Average cake thats been courted by a LOT of hype.
(anecdotes/miscellaneous#service),"Maybe it's that most of Dumont's patrons are younger and have lower expectations, but I cannot recommend Dumont."
(anecdotes/miscellaneous#service),The lack of AC and the fact that there are a million swarming bodies (although everyone is polite and no one is pushing) is a slight turn off.
(anecdotes/miscellaneous),"for an appetizer, their calamari is a winner."
(anecdotes/miscellaneous#service),The ambience is also more laid-back and relaxed.
(anecdotes/miscellaneous),"If this restaurant was in Manhattan, I would definitely go more often."
(food#price),It took 100 years for Parisi to get around to making pizza (at least I don't think they ever made it before this year)...but it was worth the wait.
(anecdotes/miscellaneous),We were wondering why they were there to make our dining experience miserable?
(anecdotes/miscellaneous),We ordered lamb which was perfectly cooked and tasted awesome.
(anecdotes/miscellaneous),"I often find myself with time to kill in Times Square, which is a shame since I don't love this area."
(food#anecdotes/miscellaneous),Cantinetta is a real treasure in a see of mediocre Italian restaurants.
(anecdotes/miscellaneous),but their mac cheese was YUMMY!
(anecdotes/miscellaneous#service),"Finally let into the store 5 at a time, to buy expensive slices from a harried staff."
(food#anecdotes/miscellaneous#service),"The homage to India is most evident in the delectable roti canai appetizer, a fried pancake served with pungent curry dipping sauce, while the mango chicken offers a surprisingly sophisticated, fresh take on sweet-and-sour."
(anecdotes/miscellaneous),"Not terrible, but not the restaurant in the reviews of 2002."
(food#anecdotes/miscellaneous#service),"His food is excellent (and not expensive by NYC standards- no entrees over $30, most appetizers $12 to 14)."
(anecdotes/miscellaneous),"We love it, and took buses and cabs to get there."
(food),"Great food, good wine and an excellent host."
(food),"While the smoothies are a little big for me, the fresh juices are the best I have ever had!"
(food),Really nice restaurant to go with a group or on a date.
(food#anecdotes/miscellaneous),"I came to fresh expecting a great meal, and all I got was marginally so-so food served in a restaurant that was just so freezing we couldn't enjoy eating."
(food),The BEST Chinese food Uptown!
(food),"But now that it's under new ownership and has been renovated, it looks great."
(anecdotes/miscellaneous),"In fact, this was not a Nicoise salad and was barely eatable."
(food#anecdotes/miscellaneous),It was delish and I didn't feel bad eating it.
(anecdotes/miscellaneous),They have homemade pastas of all kinds -- I recommend the gnocchi -- yum!
(anecdotes/miscellaneous),Don't waste your time or your money.
(anecdotes/miscellaneous),They are located off the beaten path but are certainly worth the trip.
(food#anecdotes/miscellaneous),"Glechik might be way too tiny for a restaurant by Russian standards, but it is cozy and the food is simply GREAT."
(anecdotes/miscellaneous),The steak melted in my mouth.
(anecdotes/miscellaneous),You will find everything about Trio to your liking!
(anecdotes/miscellaneous),I went for restaurant week and ordered off the prix fixe menu
(food#price#anecdotes/miscellaneous),") It's not the best Japanese restaurant in the East Village, but it's a pretty solid one for its modest prices, and worth repeat visits."
(food),"The staff is unbelievably friendly, and I dream about their Saag gosht...so good."
(anecdotes/miscellaneous),We'll definitly be back again!
(food),"The food here was great, a treat from beginning to end."
(anecdotes/miscellaneous),"Try the ribs, sizzling beef and couple it with coconut rice."
(food#anecdotes/miscellaneous),The lone argentine chorizo appetizer at $8.95 was a heavy fennel flavored Italian sausage like the ones that sell for $2.99/lb at the store.
(food#service),Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.
(food),I think the meatball parm is good.
(food#service),"The food is great (big selection, reasonable prices) and the drinks are really good."
(food),it is a cozy place to go with a couple of friends.
(service),"The happy hour is so cheap, but that does not reflect the service or the atmosphere."
(anecdotes/miscellaneous),We came across this restaurant by accident while at a DUMBO art festival and thoroughly enjoyed our meal.
(food),Also get the Onion Rings -- best we've ever had.
(anecdotes/miscellaneous),I have no idea why this restaurant is so often overlooked.
(food#service),The design is very intimate and romantic.
(food#anecdotes/miscellaneous),"for about eleven bucks you get a gigantic burrito (or tacos), margarita, and dessert."
(anecdotes/miscellaneous),Delish and made to your liking!
(anecdotes/miscellaneous),I would definitely come back to this restaurant.
(anecdotes/miscellaneous),I read about this place in Time Out magazine.
(food),"We been there and we really enjoy the food, was areally great food, and the service was really good."
(food),Dug the blue bar area too.
(food#anecdotes/miscellaneous),"Young neighborhood trendies graze at the counter during the day, while chic, art-house drinkers with heavy doses of the munchies pile in late at night."
(anecdotes/miscellaneous),their brunch menu had something for everyone.
(anecdotes/miscellaneous),"Finally a curry that I can eat, enjoy and not suffer from gastritis from 3 hours later."
(food),Went there for a special celebration.
(service),it was a very warm experience.
(anecdotes/miscellaneous),WE WERE PLEASANTLY SURPRISED WITH OUR CHOICE.
(food),Waiters are very friendly and the pasta is out of this world.
(anecdotes/miscellaneous),but the food was delicious.
(food),They also have a great assortment of wraps if your not in the mood for traditional Mediterranean fare.
(food),Service was good and so was the atmosphere.
(anecdotes/miscellaneous),Now we moved out of the state and every visit to NYC includes a stop here.
(food),The food was outstanding and the service was tops.
(anecdotes/miscellaneous),We were seated next to a couple whose kitchen was being renovated and we agreed since we're all foodies who eat out a lot - that this wasn't a place we'd return to.
(food#anecdotes/miscellaneous),"And these are not small, wimpy fast food type burgers - these are real, full sized patties."
(anecdotes/miscellaneous),"I love the simplicity and respect which was given to the food, as well the staff was freindly and knowledgable."
(anecdotes/miscellaneous),Go for the Seafood Paella for two.
(ambience),"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana."
(service),I'm looking forward to going back soon and eventually trying most everything on the menu!
(food#anecdotes/miscellaneous),"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate."
(food),The sushi is always fresh and yummy and the menu is pretty varied.
(food),"The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it."
(food),The fajita we tried was tasteless and burned and the mole sauce was way too sweet.
(service),My boyfriend and I went here last night and LOVED it!
(food),"BEST spicy tuna roll, great asian salad."
(anecdotes/miscellaneous),Everything about this place was wonderful.
(food),this restaurant is absolutely beautiful.
(price),I went there with a few friends and will return.
(anecdotes/miscellaneous#service),"Had a lovely dinner in this dedicated seafood joint, food was well-prepared and -presented and the service was pleasant and prompt."
(food#anecdotes/miscellaneous),I can't imagine how much worse it would have been if we'd gone at a prime time!
(anecdotes/miscellaneous),The gnocchi literally melts in your mouth!
(anecdotes/miscellaneous),"This place has beautiful sushi, and it's delicious CHEAP. "
(anecdotes/miscellaneous),Do not go to this restaurant.
(anecdotes/miscellaneous),Go spend your money somewhere that really wows you.
(food),Reasonably priced with very fresh sushi.
(anecdotes/miscellaneous),"The atmosphere takes you to that place, the place many dream of."
(food),We've always gotten amazing service and we love the food.
(price),I had to wait for my friend at the bar for a few minutes
(food#anecdotes/miscellaneous),"All-time favorites include the Big Mac, Chicken McNuggets, Filet-O-Fish sandwich and McDonald's famous french fries; lighter options like entree-sized salads are also available."
(food),Sushi so fresh that it crunches in your mouth.
(service),My first experience at Siam Square was very pleasant.
(anecdotes/miscellaneous),"Go with the specials, and stay away from the salmon. "
(anecdotes/miscellaneous#service),"Although somewhat loud, the noise was minimally intrusive."
(food),"I reccomend the fried pork dumplings, the orange chicken/beef, and the fried rice."
(food),"Food was decent, but not great."
(food),The worst though was the taste.
(food#price#anecdotes/miscellaneous),"The new menu has a few creative items,they were smart enough to keep some of the old favorites (but they raised the prices), the staff is friendly most of the time, but I must agree with the person that wrote about their favorite words: No, can't, sorry..., boy, they won't bend the rules for anyone."
(service),"Everyone who works there (the host, the bartender, the servers) is so helpful."
(food#service),"excellent tapas at great prices, romantic, small but not overly crowed, excellent"
(food),Likewise if you like really thin crust or really big slices then Nick and Joe's may not be your favorite.
(food#service),"I highly reccomend the grand marnier shrimp, it's insanely good."
(anecdotes/miscellaneous),You will not be dissapointed by any of the choices in the menu.
(food),Don Pedro's is one of my favorite restaurants.
(food#anecdotes/miscellaneous#service),"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level."
(food#anecdotes/miscellaneous),"We requested they re-slice the sushi, and it was returned to us in small cheese-like cubes."
(anecdotes/miscellaneous),"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out."
(food),We were very impressed with the food and value.
(anecdotes/miscellaneous),I didn't go there for food so I can't comment.
(food),All of the apetizers are good and the Sangria is very good.
(food),I'm almost tempted to give this place a bad review so I can keep the crowds away...been going there on and off for a year now and it's really my fave hang out in the city.
(food),"The pasta primavera was outstanding as well, lots of fresh veggies."
(food#anecdotes/miscellaneous),"Not too much so, but enough that there's a great scene."
(food),"It's traditional, simple italian food."
(food#anecdotes/miscellaneous),"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham."
(food#anecdotes/miscellaneous),"Thick fries, meaty chili and stuffed baked potatoes round out a menu that includes a cool, ultra-thick chocolate Frosty."
(food),The portions are very large and the service is fantastic!!
(food#anecdotes/miscellaneous),Ask for the round corner table next to the large window.
