technique,,"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves."
turkey burger,,"My turkey burger was not cooked at all, my friends salmon was completely raw."
sesame chicken,,"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken."
dumpling,,"You can also special order any kind of dumpling,etc."
sashimi,,"those rolls were big, but not good and sashimi wasn't fresh."
environment,,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
pickels and slaw,,"Lunch came with pickels and slaw, no extra charge."
fried rice,,The fried rice is amazing here.
banana tower,,The banana tower is an amazing dessert as well.
rice to fish ration,,The rice to fish ration was also good--they didn't try to overpack the rice.
congee,,"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread."
ambience,,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service."
maitre,,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.
dim sum combo,,"I got the $10 10-piece dim sum combo, every bite of which was great."
presentation,,I had the mango chicken and i can't go on to tell you how delicious that was and the presentation was beatiful.
Quality,,"Overall I was impressed and will return, it's a great QPR (Quality to Price Ratio)."
waiters,,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
stauff,,Really cool stauff inside.
Beef Cube on rice,,"I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go."
sushi chef,,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place."
garden,,"Even if the food wasn't this good, the garden is a great place to sit outside and relax."
Steak au Poivre,,"Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it."
veal in carozza chicken saltimbocca,,"The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca."
deli,,If you are in search of the most authentic NYC deli experience look no further than the famous and historic Katz's Deli down on the Lower East Side.
dessert,,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.
Sea Eel,,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc."
fat,,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience)."
choice,,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity."
tanks,,"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch."
roasted tomato soup with chevre,,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous."
cook,,"Apparently, the good cook works then."
patio,,"I can't wait for summer, when they serve outside on their gigantic patio."
Steak,,"My husband and I both ordered the Steak, medium."
chicken parm,,"The chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce."
lava cake dessert,,The lava cake dessert was incredible and I recommend it.
special,,"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent."
look,,The photos of the restaurant in its web site are way better than the real look.
casual dinner,,Good for casual dinner with jeans and sneakers.
porcini mushroom pasta special,,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle."
cooks,,"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand."
hummus platter,,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter."
staples,,"While certain staples are excellent (the burger, some of the pastas), the food is not really the point."
prix fixe pricing,,"Even with the prix fixe pricing, this restaurant is not worth it."
desserts,,The desserts are more appealing then stuffy overpriced French restaurants.
Dosa,,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
Tamarind Margaritas,,If you go here - your focus should be the Tamarind Margaritas.
hosting staff,,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.
steak frites,,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous."
specials,,"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
bottle of sake,,"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi."
half price sushi deal,,We took advanatage of the half price sushi deal on saturday so it was well worth it.
Cantonese,,The food here does a great service to the name (Cantonese that is...).
Indian restaurant food,,Definite go if you're used to good Indian restaurant food from abroad.
chilaquiles,,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!"
guy,,The main downside to the place is the nazi-like guy running it who constantly complains about the noise level.
RICE,,They had scrapped the bottom of the vessel in which they make the rice -RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL.
main courses,,The appetizers are just OK and the main courses were decidedly subpar.
after dinner drink,,"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house."
servings,,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good."
pork,,"If you want some roast duck, pork or chicken on rice with ginger, try them out!"
Sushi,,Sushi wasn't anything spectacular for the price.
neighborhood,,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!"
wine menu,,"Three page wine menu, one page entree and horedevous."
fried dumpling,,As soon as I wake up on a saturday or sunday it is the first thing on my mind is when and how I will be getting to fried dumpling.
shrimp fritters,,"For appetizers, I recommend the shrimp fritters and dumplings."
refleshment,,I went there in late afternoon for some bite size food and refleshment with my date.
bacon,,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
steaks,,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.
chef,,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
burger,,"While certain staples are excellent (the burger, some of the pastas), the food is not really the point."
dinner menu,,The dinner menu is diverse and top-notch as well.
cost,,A great choice at any cost and a great deal.
design,,The design and atmosphere is just as good.
Singapore Mai Fun,,The Singapore Mai Fun had NO curry flavor whatsoever.
dulce de leche gelato,,Try the chocolate mud cake (warmed) with 2 scoops of dulce de leche gelato.
wintermelon,,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.
beer selection,,I liked the beer selection!
drinks,,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
mascarpone with chocolate chip,,They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.
in sandwiches,,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars."
soup,,Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.
dim sum,,"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here)."
comfort food,,This is one of the best comfort food places in the city.
meals,,"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables."
cooking,,"But, nothing stands out about the cooking."
sangria,,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it."
snack foods,,They've the best desserts and mixed drinks as well as snack foods.
LOBSTER TAILS,,"When my husband and go there, we spend $60.00 (have LOBSTER TAILS UMMMMM need I say more) I can't say any more, it a place you'll never forget If you never go, you'll miss A Meal of your life time"
tuna sandwich,,We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.
waiting,,Overall A oh ya even though there is waiting it is deff worth it
indian,,i don't usually order wine with indian so i can't comment on their wine list or their wines.
attitudes,,"No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown."
dimsum,,"Stick to dimsum, not super overpriced noodles."
Argentinian Pizza,,"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent."
prix fix,,Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.
scallops,,"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations."
tips,,"NO more reservations, expensive tips and annoying stuff."
raw vegatables,,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders."
glass front,,"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup."
counters,,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees."
scenery,,"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire."
mussel selection,,I particularly love their yellowfun tuna and their mussel selection.
Bill,,"Bill a little high, but worth it."
vegetarian dishes,,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections."
frites,,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared."
front doors,,I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.
Prix Fixe menu,,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
mussels,,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
dining area,,I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.
Neapolitan fare,,"For years, I thought Tuscan cuisine was the best, but Salvatore converted me to the hearty Neapolitan fare on my first visit."
water,,The soup for the udon was soy sauce and water.
prix fixe meal,,Could be pricey without a prix fixe meal.
pub,,But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.
decore,,"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY."
Neapolitan pizza,,"When he's not making authentic Neapolitan pizza in the open brick oven or lightly frying zucchini blossoms, he's visiting the regulars (a growing legion) and checking on newcomers."
after dinner drinks,,"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks)."
ordering a la carte,,We were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.
wasabe potatoes,,The tuna and wasabe potatoes are excellent.
house champagne,,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value."
mozzarella,,"He not only makes his own homemade mozzarella, but every pie is ultra fresh."
wait,,"There was a small wait, but shorter than I expected."
live entertainment,,It is a lot of fun with live entertainment and all kinds of Disney type special effects.
FOOD QUALITY,,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.
Jazz,,"This is the only Thai place I go too in NYC, it's wonderful, and live relaxed Jazz on certain nights."
hollondaise sauce,,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was."
discount,,"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible."
personal herb garden,,"THe back garden sitting area is very pleasant, where you can see their personal herb garden."
back garden sitting area,,"THe back garden sitting area is very pleasant, where you can see their personal herb garden."
employees,,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.
host,,"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor."
dumpling menu,,We could have made a meal of the yummy dumplings from the dumpling menu.
Sake collection,,"Sake collection was excellent (Try Nanbu Bijin), but pricy."
soup for the udon,,The soup for the udon was soy sauce and water.
sesame crusted Salmon,,"However, service was as plain as sesame crusted Salmon I had."
Gnocchi,,I'm partial to the Gnocchi.
Gigondas,,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value."
menu selections,,We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service.
puff pastry goat cheese,,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
bars,,"While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique."
chai tea,,The highly spiced chai tea was great too.
knishes,,"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money."
Staff,,Staff is very accomodating.
duck breast special,,I had the duck breast special on my last visit and it was incredible.
ingrediants,,"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them."
outdoor chairs,,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better."
grapes,,The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.
fried chicken,,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered."
qualities,,"I would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!"
Meal,,"When my husband and go there, we spend $60.00 (have LOBSTER TAILS UMMMMM need I say more) I can't say any more, it a place you'll never forget If you never go, you'll miss A Meal of your life time"
lamb vindaloo,,"try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great."
malai tikka wrap,,we split a tasty vegetable samosa and the malai tikka wrap.
Yellowtail,,The Yellowtail was particularly good as well.
meats,,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
shell crab,,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
pistachio ice cream,,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had)."
Mexican food,,"Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants."
lime,,I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.
chicken tikka,,"Especially liked chicken tikka and the naan, and the dals."
kababs,,and yes Dal Bukhara is so dam good and so are all the kababs.
dumplings,,"I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!"
lox spread,,Try the olive cream cheese or the lox spread on a whole wheat everything bagel.
mediterranean salad,,"Try the mediterranean salad, it is a true experience for your taste buds!!"
sake,,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
ala carte,,My husband and I have been there a couple of times and each time we sat at the sushi bar (chef Yoshi) and ordered everything ala carte.
strawberry daiquiries,,Wonderful strawberry daiquiries as well!
Lunch,,"Lunch came with pickels and slaw, no extra charge."
Prix Fixe,,"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food."
lentil dish,,"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor."
music,,"Ambiance and music funky, which I enjoy."
care,,"We a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident."
cheescake,,I have never had cheescake like this.
Bagels,,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
fried shrimp,,My wife had the fried shrimp which are huge and loved it.
Butter,,"Butter was melted, white wine warm, cheese oozing everywhere."
squid,,We were fans of the half-price Saturday night option until some inedible squid during a recent visit.
door,,"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime."
beers on tap,,Pair you food with the excellent beers on tap or their well priced wine list.
omelletes,,"Late nite omelletes are not good here, there is no variety!"
Tofu plates,,"I recommend their Pad See Ew, Pork Chops or Tofu plates."
chocolate,,Will have to return to try the chocolate!
fried tofu,,"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato."
spicy ethnic foods,,"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago."
beers,,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini."
box wine,,"Then, get ripped on free box wine."
spring rolls,,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.
bombay cosmopolitan,,The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.
homemade pasta,,"Pizza is terrific, as is homemade pasta."
Thai cuisine,,"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine."
nori,,"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance."
starter,,The portions are large and the servers always surprise us with a different starter.
foie gras terrine with figs,,The duck confit is always amazing and the foie gras terrine with figs was out of this world.
price range,,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good."
bartender,,"And Kruno, the beverage manager is the best bartender I have yet to come across."
room,,With the theater 2 blocks away we had a delicious meal in a beautiful room.
salad,,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad."
lazy susans,,"If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here."
water and wine glasses,,"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine."
Taiwanese,,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese."
fish and chips,,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries)."
black cod with yuzu sauce,,"I had the black cod with yuzu sauce, which was wonderful."
glasses of wine,,The waitress suggested glasses of wine that went very well with the food.
wine selection,,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
Lobster Cobb Salad,,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad."
servants,,"We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down."
dhosas,,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
bruschettas,,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating."
dining experience,,The entire dining experience was wonderful!
corned beef,,The corned beef was tender and melted in my mouth.
red wine,,We were seated outside and the waiter spilled red wine and hot tea on myself and my date.
chicken casserole,,"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone."
sushi bar,,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
lamb glazed with balsamic vinegar,,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite."
Ingredients,,Ingredients are organic which is a real plus for me.
potato chips,,And they have these home made potato chips at the bar that are the most delicious things in the world!
Reuben sandwich,,Best Reuben sandwich ever!
lamb sausages,,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had)."
wallet,,"Check it out, it won't hurt your stomach or your wallet."
foods,,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
tandoori salmon,,Try the tandoori salmon!
bar scene,,The place itself is beautiful the bar scene seems to be happening.
Moules,,"Moules were excellent, lobster ravioli was VERY salty!"
Ambience,,"Ambience is delightful, service impeccable."
interior decoration,,"All the money went into the interior decoration, none of it went to the chefs."
meat patties in steamed buns,,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.
onions,,"Delicate spices, onions, eggs and a kick-ass roti."
parmesean porcini souffle,,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite."
Pastrami or corned beef,,Pastrami or corned beef are juicy and piled high (ask for extra rye bread).
Pizza,,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!"
Wine list selection,,Wine list selection is good and wine-by-the-glass was generously filled to the top.
glasses of champagne,,"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks)."
french indian fusion,,These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.
variety of fish,,The fish is fresh but the variety of fish is nothing out of ordinary.
surroundings,,20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.
price tag,,"The overall price tag was very very expensive, something I did expect."
dinner specials,,We usually just get some of the dinner specials and they are very reasonably priced and very tasty.
vibe,,"Best of all is the warm vibe, the owner is super friendly and service is fast."
Personal pans,,Personal pans are the perfect size for those hungry nights.
spreads,,"Great bagels, spreads and a good place to hang out in."
lamb meat,,The lamb meat was under-cooked and EXTRMELY CHEWY.
perks,,"Not only was the food outstanding, but the little 'perks' were great."
hunan chicken,,"I've had the chicken with garlic sauce, chicken with black bean sauce, and hunan chicken."
buns,,The hot dogs were cold in the middle and the buns were stale.
special menu,,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu)."
glasses of water,,I could have drank 4 glasses of water and still been parched - so watch out.
dress cod,,"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays."
gourmet food,,I love and I know gourmet food by excellence!
establishment,,The establishment scores big points in presentation and style.
pizza,,The pizza is the best if you like thin crusted pizza.
lamb,,"I recommend the garlic shrimp, okra (bindi), and anything with lamb."
entree,,The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.
waitstaff,,"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters."
nebbiolo,,kalbi and nebbiolo do work together.
takeout menu,,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!"
decor,,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices."
drumsticks over rice,,Best drumsticks over rice and sour spicy soup in town!
french food,,Not a small feat for good french food in the area.
glass of prosecco,,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy."
vegetarian entree,,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.
Lassi,,I ordered a Lassi and asked 4 times for it but never got it.
wait service,,"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud)."
fresh tomatoes,,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.
goat cheese,,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
man,,"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around)."
japanese comfort food,,it's the only place you can get yummy authentic japanese comfort food.
buttery and tender langostine entree,,From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.
spaghetti with Scallops and Shrimp,,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.
mix of greens,,"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen."
gin and tonic,,"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic."
lamb sandwhich,,"The chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites."
curry,,"Its not curry in a slurry crap, and regular run of the mill food."
tapas,,"The wine is always good, the tapas are always yummy, especially with the warm pita bread."
counter,,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees."
lines,,I usually go there later at night when I get off work so I don't have to deal with crowds or lines.
eats,,"otherwise, good stuff for late nite eats."
dinners,,"I have had so many dinners here and it's always been perfect - on a date with my husband, with my mom, with girlfriends and larger groups."
reputation,,"Service was decent, but not as smooth as I would expect from a place with these prices and reputation."
chopsticks,,"Dip the ingredients in with your chopsticks, swirl them around, and eat."
presentaion,,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity."
lay out,,"Great food, great lay out and awesome service."
Fluke sashimi,,"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness."
breads,,very good breads as well.
oysters,,"I didn't take a look at the rest menu, but the oysters were fantastic."
order,,I also ordered for delivery and the restaurant forgot half the order.
scents,,The strong scents coming from the left and right of me negatively affected my taste buds.
wine,,Two words: Free wine.
Chicken Tikka Masala,,one of the best Chicken Tikka Masala.
snapple,,Nothing better than buying a snapple for $3.25 too.
serving,,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries)."
ethnic food,,"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull."
secret back room,,Check out the secret back room.
noise level,,"The noise level was unbearable, conversation impossible."
sushi plate,,"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi."
chole,,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
lobster ravioli,,"Moules were excellent, lobster ravioli was VERY salty!"
Bombay beer,,I started out with a Bombay beer which was big enough for two.
