environment,4,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",,
pickels and slaw,1,"Lunch came with pickels and slaw, no extra charge.",,
fried rice,1,The fried rice is amazing here.,,
banana tower,1,The banana tower is an amazing dessert as well.,,
rice to fish ration,1,The rice to fish ration was also good--they didn't try to overpack the rice.,,
congee,1,"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.",,
ambience,4,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",,
maitre,5,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,,
dim sum combo,1,"I got the $10 10-piece dim sum combo, every bite of which was great.",,
presentation,4,I had the mango chicken and i can't go on to tell you how delicious that was and the presentation was beatiful.,,
Quality,3,"Overall I was impressed and will return, it's a great QPR (Quality to Price Ratio).",,
waiters,2,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,,
stauff,1,Really cool stauff inside.,,
Beef Cube on rice,1,"I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go.",,
sushi chef,5,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",,
garden,5,"Even if the food wasn't this good, the garden is a great place to sit outside and relax.",,
Steak au Poivre,1,"Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it.",,
veal in carozza chicken saltimbocca,1,"The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.",,
deli,1,If you are in search of the most authentic NYC deli experience look no further than the famous and historic Katz's Deli down on the Lower East Side.,,
dessert,1,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,,
Sea Eel,1,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",,
fat,1,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",,
choice,5,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",,
tanks,4,"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",,
roasted tomato soup with chevre,1,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",,
cook,2,"Apparently, the good cook works then.",,
patio,5,"I can't wait for summer, when they serve outside on their gigantic patio.",,
Steak,1,"My husband and I both ordered the Steak, medium.",,
chicken parm,1,"The chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.",,
lava cake dessert,1,The lava cake dessert was incredible and I recommend it.,,
special,1,"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.",,
look,5,The photos of the restaurant in its web site are way better than the real look.,,
casual dinner,5,Good for casual dinner with jeans and sneakers.,,
porcini mushroom pasta special,1,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",,
cooks,2,"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand.",,
hummus platter,1,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",,
staples,1,"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",,
prix fixe pricing,3,"Even with the prix fixe pricing, this restaurant is not worth it.",,
desserts,1,The desserts are more appealing then stuffy overpriced French restaurants.,,
Dosa,1,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,,
Tamarind Margaritas,1,If you go here - your focus should be the Tamarind Margaritas.,,
hosting staff,2,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,,
steak frites,1,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",,
specials,1,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",,
bottle of sake,1,"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",,
half price sushi deal,3,We took advanatage of the half price sushi deal on saturday so it was well worth it.,,
Cantonese,1,The food here does a great service to the name (Cantonese that is...).,,
Indian restaurant food,1,Definite go if you're used to good Indian restaurant food from abroad.,,
chilaquiles,1,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",,
guy,5,The main downside to the place is the nazi-like guy running it who constantly complains about the noise level.,,
RICE,1,They had scrapped the bottom of the vessel in which they make the rice -RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL.,,
main courses,1,The appetizers are just OK and the main courses were decidedly subpar.,,
after dinner drink,1,"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house.",,
servings,5,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",,
pork,1,"If you want some roast duck, pork or chicken on rice with ginger, try them out!",,
Sushi,1,Sushi wasn't anything spectacular for the price.,,
neighborhood,4,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",,
wine menu,5,"Three page wine menu, one page entree and horedevous.",,
fried dumpling,1,As soon as I wake up on a saturday or sunday it is the first thing on my mind is when and how I will be getting to fried dumpling.,,
shrimp fritters,1,"For appetizers, I recommend the shrimp fritters and dumplings.",,
refleshment,1,I went there in late afternoon for some bite size food and refleshment with my date.,,
bacon,1,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",,
steaks,1,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,,
chef,2,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",,
burger,1,"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",,
dinner menu,5,The dinner menu is diverse and top-notch as well.,,
cost,3,A great choice at any cost and a great deal.,,
design,4,The design and atmosphere is just as good.,,
Singapore Mai Fun,1,The Singapore Mai Fun had NO curry flavor whatsoever.,,
dulce de leche gelato,1,Try the chocolate mud cake (warmed) with 2 scoops of dulce de leche gelato.,,
wintermelon,1,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,,
beer selection,2,I liked the beer selection!,,
drinks,1,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",,
mascarpone with chocolate chip,1,They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,,
in sandwiches,1,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",,
soup,1,Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,,
dim sum,1,"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).",,
comfort food,1,This is one of the best comfort food places in the city.,,
meals,1,"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.",,
cooking,2,"But, nothing stands out about the cooking.",,
sangria,1,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",,
snack foods,1,They've the best desserts and mixed drinks as well as snack foods.,,
LOBSTER TAILS,1,"When my husband and go there, we spend $60.00 (have LOBSTER TAILS UMMMMM need I say more) I can't say any more, it a place you'll never forget If you never go, you'll miss A Meal of your life time",,
tuna sandwich,1,We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.,,
waiting,5,Overall A oh ya even though there is waiting it is deff worth it,,
indian,5,i don't usually order wine with indian so i can't comment on their wine list or their wines.,,
attitudes,2,"No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown.",,
dimsum,1,"Stick to dimsum, not super overpriced noodles.",,
Argentinian Pizza,1,"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",,
prix fix,3,Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.,,
scallops,1,"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",,
tips,2,"NO more reservations, expensive tips and annoying stuff.",,
raw vegatables,1,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",,
glass front,4,"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",,
counters,4,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",,
scenery,4,"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire.",,
mussel selection,1,I particularly love their yellowfun tuna and their mussel selection.,,
Bill,3,"Bill a little high, but worth it.",,
vegetarian dishes,1,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",,
frites,1,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",,
front doors,4,I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.,,
Prix Fixe menu,1,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,,
mussels,1,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",,
dining area,4,I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.,,
Neapolitan fare,3,"For years, I thought Tuscan cuisine was the best, but Salvatore converted me to the hearty Neapolitan fare on my first visit.",,
water,1,The soup for the udon was soy sauce and water.,,
prix fixe meal,1,Could be pricey without a prix fixe meal.,,
pub,4,But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,,
decore,1,"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY.",,
Neapolitan pizza,1,"When he's not making authentic Neapolitan pizza in the open brick oven or lightly frying zucchini blossoms, he's visiting the regulars (a growing legion) and checking on newcomers.",,
after dinner drinks,1,"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).",,
ordering a la carte,1,We were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.,,
wasabe potatoes,1,The tuna and wasabe potatoes are excellent.,,
house champagne,1,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",,
mozzarella,1,"He not only makes his own homemade mozzarella, but every pie is ultra fresh.",,
wait,5,"There was a small wait, but shorter than I expected.",,
live entertainment,4,It is a lot of fun with live entertainment and all kinds of Disney type special effects.,,
FOOD QUALITY,5,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,,
Jazz,4,"This is the only Thai place I go too in NYC, it's wonderful, and live relaxed Jazz on certain nights.",,
hollondaise sauce,1,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",,
discount,3,"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",,
personal herb garden,4,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",,
back garden sitting area,4,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",,
employees,2,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,,
host,5,"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",,
dumpling menu,1,We could have made a meal of the yummy dumplings from the dumpling menu.,,
Sake collection,1,"Sake collection was excellent (Try Nanbu Bijin), but pricy.",,
soup for the udon,1,The soup for the udon was soy sauce and water.,,
sesame crusted Salmon,1,"However, service was as plain as sesame crusted Salmon I had.",,
Gnocchi,1,I'm partial to the Gnocchi.,,
Gigondas,1,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",,
menu selections,1,We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service.,,
puff pastry goat cheese,1,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",,
bars,4,"While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique.",,
chai tea,1,The highly spiced chai tea was great too.,,
knishes,5,"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.",,
Staff,2,Staff is very accomodating.,,
duck breast special,1,I had the duck breast special on my last visit and it was incredible.,,
ingrediants,1,"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",,
outdoor chairs,4,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",,
grapes,1,The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.,,
fried chicken,1,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",,
qualities,5,"I would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!",,
Meal,1,"When my husband and go there, we spend $60.00 (have LOBSTER TAILS UMMMMM need I say more) I can't say any more, it a place you'll never forget If you never go, you'll miss A Meal of your life time",,
lamb vindaloo,1,"try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.",,
malai tikka wrap,1,we split a tasty vegetable samosa and the malai tikka wrap.,,
Yellowtail,1,The Yellowtail was particularly good as well.,,
meats,1,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,,
shell crab,1,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",,
pistachio ice cream,1,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",,
Mexican food,1,"Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants.",,
lime,1,I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,,
chicken tikka,1,"Especially liked chicken tikka and the naan, and the dals.",,
kababs,1,and yes Dal Bukhara is so dam good and so are all the kababs.,,
dumplings,1,"I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!",,
lox spread,1,Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,,
mediterranean salad,1,"Try the mediterranean salad, it is a true experience for your taste buds!!",,
sake,1,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",,
ala carte,1,My husband and I have been there a couple of times and each time we sat at the sushi bar (chef Yoshi) and ordered everything ala carte.,,
strawberry daiquiries,1,Wonderful strawberry daiquiries as well!,,
Lunch,1,"Lunch came with pickels and slaw, no extra charge.",,
Prix Fixe,1,"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food.",,
lentil dish,1,"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.",,
music,4,"Ambiance and music funky, which I enjoy.",,
care,2,"We a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",,
cheescake,1,I have never had cheescake like this.,,
Bagels,1,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",,
fried shrimp,1,My wife had the fried shrimp which are huge and loved it.,,
Butter,1,"Butter was melted, white wine warm, cheese oozing everywhere.",,
squid,1,We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,,
door,4,"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",,
beers on tap,1,Pair you food with the excellent beers on tap or their well priced wine list.,,
omelletes,1,"Late nite omelletes are not good here, there is no variety!",,
Tofu plates,1,"I recommend their Pad See Ew, Pork Chops or Tofu plates.",,
chocolate,1,Will have to return to try the chocolate!,,
fried tofu,1,"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.",,
spicy ethnic foods,1,"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago.",,
beers,1,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",,
box wine,1,"Then, get ripped on free box wine.",,
spring rolls,1,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,,
bombay cosmopolitan,1,The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.,,
homemade pasta,1,"Pizza is terrific, as is homemade pasta.",,
Thai cuisine,1,"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.",,
nori,1,"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.",,
starter,5,The portions are large and the servers always surprise us with a different starter.,,
foie gras terrine with figs,1,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,,
price range,3,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",,
bartender,2,"And Kruno, the beverage manager is the best bartender I have yet to come across.",,
room,4,With the theater 2 blocks away we had a delicious meal in a beautiful room.,,
salad,1,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",,
lazy susans,4,"If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here.",,
water and wine glasses,5,"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.",,
Taiwanese,1,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",,
fish and chips,1,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",,
black cod with yuzu sauce,1,"I had the black cod with yuzu sauce, which was wonderful.",,
glasses of wine,1,The waitress suggested glasses of wine that went very well with the food.,,
wine selection,1,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,,
Lobster Cobb Salad,1,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",,
servants,2,"We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down.",,
dhosas,1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",,
bruschettas,1,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",,
dining experience,4,The entire dining experience was wonderful!,,
corned beef,1,The corned beef was tender and melted in my mouth.,,
red wine,1,We were seated outside and the waiter spilled red wine and hot tea on myself and my date.,,
chicken casserole,1,"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",,
sushi bar,4,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",,
lamb glazed with balsamic vinegar,1,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",,
Ingredients,1,Ingredients are organic which is a real plus for me.,,
potato chips,1,And they have these home made potato chips at the bar that are the most delicious things in the world!,,
Reuben sandwich,1,Best Reuben sandwich ever!,,
lamb sausages,1,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",,
wallet,3,"Check it out, it won't hurt your stomach or your wallet.",,
foods,1,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",,
tandoori salmon,1,Try the tandoori salmon!,,
bar scene,4,The place itself is beautiful the bar scene seems to be happening.,,
Moules,1,"Moules were excellent, lobster ravioli was VERY salty!",,
Ambience,4,"Ambience is delightful, service impeccable.",,
interior decoration,4,"All the money went into the interior decoration, none of it went to the chefs.",,
meat patties in steamed buns,1,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,,
onions,1,"Delicate spices, onions, eggs and a kick-ass roti.",,
parmesean porcini souffle,1,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",,
Pastrami or corned beef,1,Pastrami or corned beef are juicy and piled high (ask for extra rye bread).,,
Pizza,1,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",,
Wine list selection,1,Wine list selection is good and wine-by-the-glass was generously filled to the top.,,
glasses of champagne,1,"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).",,
french indian fusion,5,These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.,,
variety of fish,1,The fish is fresh but the variety of fish is nothing out of ordinary.,,
surroundings,4,20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.,,
price tag,3,"The overall price tag was very very expensive, something I did expect.",,
dinner specials,1,We usually just get some of the dinner specials and they are very reasonably priced and very tasty.,,
vibe,4,"Best of all is the warm vibe, the owner is super friendly and service is fast.",,
Personal pans,1,Personal pans are the perfect size for those hungry nights.,,
spreads,5,"Great bagels, spreads and a good place to hang out in.",,
lamb meat,1,The lamb meat was under-cooked and EXTRMELY CHEWY.,,
perks,4,"Not only was the food outstanding, but the little 'perks' were great.",,
hunan chicken,1,"I've had the chicken with garlic sauce, chicken with black bean sauce, and hunan chicken.",,
buns,1,The hot dogs were cold in the middle and the buns were stale.,,
special menu,1,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).",,
glasses of water,1,I could have drank 4 glasses of water and still been parched - so watch out.,,
dress cod,4,"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays.",,
gourmet food,1,I love and I know gourmet food by excellence!,,
establishment,4,The establishment scores big points in presentation and style.,,
pizza,1,The pizza is the best if you like thin crusted pizza.,,
lamb,1,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",,
entree,1,The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.,,
waitstaff,2,"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.",,
nebbiolo,1,kalbi and nebbiolo do work together.,,
takeout menu,5,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",,
decor,1,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",,
drumsticks over rice,1,Best drumsticks over rice and sour spicy soup in town!,,
french food,1,Not a small feat for good french food in the area.,,
glass of prosecco,1,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",,
vegetarian entree,1,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,,
Lassi,1,I ordered a Lassi and asked 4 times for it but never got it.,,
wait service,2,"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).",,
fresh tomatoes,1,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,,
goat cheese,1,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,,
man,2,"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).",,
japanese comfort food,1,it's the only place you can get yummy authentic japanese comfort food.,,
buttery and tender langostine entree,1,From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.,,
spaghetti with Scallops and Shrimp,1,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,,
mix of greens,1,"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.",,
gin and tonic,1,"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",,
lamb sandwhich,1,"The chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites.",,
curry,1,"Its not curry in a slurry crap, and regular run of the mill food.",,
tapas,1,"The wine is always good, the tapas are always yummy, especially with the warm pita bread.",,
