(tuna tartar appetizer#positive),(food#positive),Their tuna tartar appetizer is to die for.
,(anecdotes/miscellaneous#positive),This was one of the BEST restaurants I've ever been to.
,(anecdotes/miscellaneous#negative),This restaurant used to be pretty decent.
(Food#conflict)(chef#positive)(fish dishes#positive)(soups#positive)(kitchen#positive)(cuisine#positive),(food#positive),"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
(wine#positive)(french fare#positive)(cheese#positive),(food#positive),"If you love wine and cheese and delicious french fare, you'll love Artisanal!"
(Indian food#positive),(food#positive),I love Indian food and consider myself to be quite an expert on it.
(baby pizzas#neutral),(food#neutral),Some baby pizzas get their wish.
,(food#positive),Plenty of choices to make your own creation.
,(ambience#negative),It was tiny and I felt like I was eating in someone's living room.
,(anecdotes/miscellaneous#neutral),I was there on sat.
(waiting#negative),(anecdotes/miscellaneous#positive)(service#negative),Overall A oh ya even though there is waiting it is deff worth it
(lava cake dessert#positive),(food#positive),The lava cake dessert was incredible and I recommend it.
(baby pizzas#neutral),(anecdotes/miscellaneous#positive),VT is what baby pizzas hope to be when they grow up.
(service#negative)(food#negative)(managers#negative),(food#negative)(service#negative),"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
(food#positive)(food#positive),(food#positive)(price#positive),Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
(table#negative),(anecdotes/miscellaneous#negative),The last time I went we were seated at a table in a corridor next to the kitchen.
(selection of wines#positive),(food#positive)(price#conflict),good selection of wines ranging from affordable to high end.
(Italian decor#positive),(ambience#positive),"Nice restaurant overall, with classic upscale Italian decor."
(food#negative),(food#negative),Not impressed with the food.
(dining experience#positive),(anecdotes/miscellaneous#positive),The entire dining experience was wonderful!
(wine selection#positive)(reservation#neutral),(food#positive)(anecdotes/miscellaneous#positive),The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
(Service#positive)(maitre#positive)(reservation#negative),(service#positive),Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.
(panang duck#positive),(food#positive),"Order the panang duck, it's fantastic."
(Food#conflict)(raw vegatables#negative),(food#conflict),"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders."
(service#negative),(service#conflict),"Other than the crappy service from two individuals, it's great."
,(anecdotes/miscellaneous#positive),What more can you ask for?
,(anecdotes/miscellaneous#neutral),Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.
(Indian#positive)(prices#positive),(food#positive)(price#positive),They have authentic Indian at amazin prices.
,(service#positive),You are treated just like royality.
,(ambience#conflict),"There's nice and quiet, small but enough for 6 (or more)."
(Ambiance#positive),(ambience#positive),Ambiance- relaxed and stylish.
,(anecdotes/miscellaneous#negative),I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.
(BBQ Salmon#positive)(Sea Bass#positive)(Crispy Duck#positive),(food#positive),"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck."
(ingredients#positive)(ingredients#positive)(pizza#negative)(crust#neutral),(food#negative),"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
,(ambience#negative),"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is)."
(kababs#positive)(Dal Bukhara#positive),(food#positive),and yes Dal Bukhara is so dam good and so are all the kababs.
(eating#positive),(anecdotes/miscellaneous#positive),I look forward to eating here again
(taste#positive),(food#positive),I've been coming here as a child and always come back for the taste.
(meal#positive)(price#positive),(food#positive)(ambience#positive)(price#positive),Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.
(glass of prosecco#positive)(mussels#positive)(glass of Leaping Lizard#positive),(food#positive),"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy."
(Food#neutral)(creme brulee#negative)(sugar#negative),(food#negative),"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene."
(food#positive)(served#positive),(food#positive)(service#positive),The food always tastes fresh and served promptly.
,(anecdotes/miscellaneous#neutral),I know because I live nearby.
(pizza#positive),(food#positive),The pizza here is delicious.
,(anecdotes/miscellaneous#negative),My entire family was horrified.
,(anecdotes/miscellaneous#neutral),On a monthly basis my friends and I get together and have a girls night out.
(Pizza#positive)(delivery#positive)(garlic knots#positive),(food#positive)(service#positive),"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!"
(chinese food#positive),(food#positive),"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away."
(service#neutral),(service#neutral),But who says Murray's is anything about service.
(food#negative),(food#negative)(anecdotes/miscellaneous#positive),"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food."
,(anecdotes/miscellaneous#positive),I have NEVER been disappointed in the Red Eye.
(chef#positive),(food#positive),Hats off to the chef.
,(anecdotes/miscellaneous#negative),This should have been done in a back room - away from customers.
(Service#negative)(teapot#positive),(anecdotes/miscellaneous#positive)(service#negative),"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience."
,(anecdotes/miscellaneous#neutral),Glad you have the luxury to throw out paying customers.
(pizza#positive)(fresh mozzarella#positive)(cheese#negative),(food#positive),"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's."
(place#positive)(food#positive),(food#positive)(ambience#positive),Its an excellent place to relax and the food is one of the best in the city of New York.
(service#positive)(getting a table#positive),(service#positive),"service is friendly, and never had a problem walking in and getting a table."
(atmosphere#conflict)(bistro-type vibe#positive),(ambience#conflict),The atmosphere was crowded but it was a great bistro-type vibe.
,(anecdotes/miscellaneous#positive),Check it out
(waitress#negative)(tables#neutral),(service#negative),"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong."
,(anecdotes/miscellaneous#negative),Don't go.
(food#negative),(food#negative),The food was bland oily.
,(anecdotes/miscellaneous#neutral),But they do.
(prices#positive)(food#positive),(food#positive)(price#positive),"What is even better, is that the prices are very affordable as well, and the food is really good."
(fish#positive)(variety of fish#negative),(food#conflict),The fish is fresh but the variety of fish is nothing out of ordinary.
,(anecdotes/miscellaneous#neutral),Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).
,(anecdotes/miscellaneous#neutral),Suan has challenged this loyalty.
(pesto pizza#positive)(house salad#positive)(bottle of wine#positive)(meal#positive),(food#positive),"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine."
(bartender#positive)(beverage manager#positive),(service#positive),"And Kruno, the beverage manager is the best bartender I have yet to come across."
(Ambiance#positive)(music#positive),(ambience#positive),"Ambiance and music funky, which I enjoy."
(food#positive)(drinks#positive)(service#positive),(food#positive)(service#positive),"The food, drinks and service are clearly among the best in the city."
(food#neutral)(refleshment#neutral),(anecdotes/miscellaneous#neutral),I went there in late afternoon for some bite size food and refleshment with my date.
,(price#positive),"It's a really great deal, considering we got full off of four dollars."
(ambiance#positive)(service#positive)(foods#positive)(tastes#positive)(sommlier#positive)(captain#positive)(back waiters#positive),(food#positive)(ambience#positive)(service#positive),"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
,(anecdotes/miscellaneous#neutral),Went with mommy (the only person who could afford taking me here).
,(anecdotes/miscellaneous#neutral),My friends and I were on vacation in NY and was referred to Chance by a friend.
(waitress#negative),(service#negative),"Last time I went here, the waitress didn't come back after taking our order."
(tandoori salmon#positive),(food#positive),Try the tandoori salmon!
,(anecdotes/miscellaneous#positive),"I am completely hooked on this place, it is ridiculous."
(atmosphere#positive),(anecdotes/miscellaneous#negative)(ambience#positive),"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience."
(space#negative)(service#positive),(service#positive)(ambience#negative),"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants."
,(anecdotes/miscellaneous#positive),"Have recommended the place to friends, always gets good response."
,(anecdotes/miscellaneous#positive),We will return many times for this oasis in mid-town.
(atmorphere#positive),(ambience#positive),I love the atmorphere @ peep!
,(anecdotes/miscellaneous#positive),Enjoy!
,(anecdotes/miscellaneous#neutral),We weren't!
,(anecdotes/miscellaneous#positive),This is one of my favorite restaurants and it is not to be missed.
,(anecdotes/miscellaneous#neutral),(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).
,(anecdotes/miscellaneous#negative),It could have been handled better.
(service#positive)(menu items#positive),(service#positive),The service was attentive and her suggestions of menu items was right on the mark.
(three course meal#positive),(food#positive),The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.
,(anecdotes/miscellaneous#neutral),Please be aware that it's CASH or AMEX only!
(Pizza#positive),(food#positive),"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!"
,(ambience#negative),It's a rather cramped and busy restaurant and it closes early.
(environment#positive)(food#negative)(service#negative),(food#negative)(service#negative)(ambience#positive),"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could."
(crawfish boiled#positive),(food#positive),"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well."
(reservation#neutral),(anecdotes/miscellaneous#neutral),I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.
,(food#positive),They were served warm and had a soft fluffy interior.
(table#neutral),(food#negative),What came to our table was burned beyond recognition and stringy.
(Pad Thai#negative)(noodles#negative),(food#negative),I had the Pad Thai and the noodles were sticky.
(delivered#neutral),(anecdotes/miscellaneous#neutral),"So I've never actually been to M proper, but I've had it delivered a few times."
(values for your money#positive),(price#positive),"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money."
(lunch#positive),(food#positive),"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison."
(hostess#negative),(service#negative),The hostess is rude to the point of being offensive.
(food#positive)(wait building#negative),(food#positive)(service#negative),"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!"
(corridor#negative)(space#negative)(counters#negative)(counter#negative)(entrees#neutral),(ambience#negative),"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees."
(food#positive),(food#positive),The food is great.
(steaks#positive)(salads#positive)(sides#positive),(food#positive),Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.
(Lunch#positive)(pickels and slaw#neutral),(price#positive),"Lunch came with pickels and slaw, no extra charge."
(wine#positive)(prices#positive),(food#positive)(price#positive),Decent wine at reasonable prices.
(delivered#positive),(service#positive),All conveniently delivered right to the door.
(wine by the glass#positive),(food#positive),even the wine by the glass was good.
,(anecdotes/miscellaneous#positive),Nice Family owned traditional restaurant.
(price#negative),(anecdotes/miscellaneous#neutral)(price#negative),would have rather tried terrace in the sky or water club for that price
(dish#positive),(food#positive),This dish is my favorite and I always get it when I go there and never get tired of it.
(Change Mojito#positive),(food#positive),"I also ordered the Change Mojito, which was out of this world."
(service#neutral),(service#neutral),Okay service.
(food#positive)(service#positive),(food#positive)(service#positive),The only thing more wonderful than the food (which is exceptional) is the service.
,(anecdotes/miscellaneous#positive),We were very pleasantly surprised.
(food#negative),(food#negative),"The food was just awful, ATROCIOUS actually."
,(anecdotes/miscellaneous#negative),I will never visit this restaurant again.
(soup for the udon#negative)(soy sauce#neutral)(water#neutral),(food#negative),The soup for the udon was soy sauce and water.
(anti-pasta#positive)(calamari#positive)(filling pasta mains#positive),(food#positive),"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains."
(waitress#positive)(food#neutral)(glasses of wine#positive),(food#positive)(service#positive),The waitress suggested glasses of wine that went very well with the food.
,(anecdotes/miscellaneous#neutral),"(or sister, in my case!)."
,(anecdotes/miscellaneous#neutral),I've eaten at many different Indian restaurants.
(food#positive)(counter#negative),(food#positive)(service#negative),"They might be all business at the counter when you give your order, but their food says I love you."
(sushi#positive)(ceviche mix (special)#positive)(crab dumplings#positive)(assorted sashimi#positive)(sushi#positive)(rolls#positive)(sake#positive)(banana tempura#positive),(food#positive),"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
(plain pizza#positive)(garlic#positive)(eggplant#positive),(food#positive),Try their plain pizza with fresh garlic or eggplant.
,(anecdotes/miscellaneous#negative),Don't go there!
(servers#negative)(servers#conflict),(service#conflict),"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention."
(getting a table#negative),(anecdotes/miscellaneous#negative),Good luck getting a table.
,(anecdotes/miscellaneous#neutral),"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect."
,(anecdotes/miscellaneous#negative),Don't look down your nose at me like that...
,(anecdotes/miscellaneous#positive),Planet Thai is great!
(service#negative),(service#negative),The service is awful.
,(anecdotes/miscellaneous#negative),Just don't do it.
,(anecdotes/miscellaneous#negative),Just ignore the trendy wannabes.
(takeout menu#positive)(menu#positive)(italian dishes#positive),(food#positive),"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!"
,(food#positive),"Trust me, it will be great, and all of it will be devoured in no time."
,(anecdotes/miscellaneous#neutral),My girlfiends and I ate at O.G. again last night.
,(anecdotes/miscellaneous#positive),I wish they had one near my office- I would go everyday.
,(anecdotes/miscellaneous#positive),Finally!
,(price#negative),Amma has the worst value for money I have experienced in NYC over the past 2 years.
(Thai food#neutral),(anecdotes/miscellaneous#neutral),"I am not the most experienced person when it comes to Thai food, but my friend who took me there is."
,(price#negative),I think this would be a pretty good spot if it were not so overpriced and overrated.
(hostess#positive),(service#positive),Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.
(pizza#positive),(food#positive),The pizza is good though.
(bottles of wine#positive),(price#positive)(food#positive),bottles of wine are cheap and good.
,(anecdotes/miscellaneous#positive),You will not be disapointed at all.
,(anecdotes/miscellaneous#negative),Walk-ins are risky too.
(beers#positive)(food#positive)(pumkin tortelini#positive)(dish#positive),(food#positive),"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini."
(dinner special#negative),(service#negative),They didn't give us the dinner special until we asked for it.
(crabmeat lasagna#positive)(chocolate bread pudding#positive)(dessert#positive),(food#positive),You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.
(pasta dishes#positive)(tiramisu#positive),(food#positive),"word of advice, save room for pasta dishes and never leave until you've had the tiramisu."
(service#positive)(prices#positive),(service#positive)(price#positive),Very good service and very good prices.
(lunch#neutral),(anecdotes/miscellaneous#positive),I recently went to this restaurant with some co-workers for lunch and had an amazing time.
(service#positive)(staff#positive)(menu#neutral)(meal#neutral),(service#positive),"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs."
(bagel#positive),(food#positive),Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.
(food#positive),(food#positive),Our food was great too!
,(anecdotes/miscellaneous#positive),Open late (well as late as I ever got there and I'm a night person)
(servers#negative),(service#negative),"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue."
(food#neutral)(plate of dumplings#positive),(anecdotes/miscellaneous#positive),"Get your food to go, find a bench, and kick back with a plate of dumplings."
(Filet Mignon#positive),(food#positive),"Please try the Filet Mignon, its just the most tender piece ever."
,(food#positive),"Everything we had was pretty good, but we have only been there once."
(sangria#neutral)(bar#neutral)(bar#neutral)(bartender#negative),(anecdotes/miscellaneous#negative),"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it."
,(anecdotes/miscellaneous#negative),Something about them being busy with holiday party's.
