(service#food#food),"Service was prompt, friendly and great."
(anecdotes/miscellaneous#food#food),Even my Indian friend couldn't believe how good and tasty everything was.
(food#anecdotes/miscellaneous),The best thing I tasted were the lambc hops.
(food#food#food),"The food was very good, a great deal, and the place its self was great."
(anecdotes/miscellaneous),Went there for an office lunch.
(food#food),The food was lousy -too sweet or too salty and the portions tiny.
(anecdotes/miscellaneous),Overall I would recommend it and go back again.
(service),You cannot go wrong with this place.
(food),The food is great and reasonably priced.
(anecdotes/miscellaneous),Don't leave without trying One Night in Tokyo.
(food),It is by far my favorite restaurant in Brooklyn.
(food#anecdotes/miscellaneous),"The food is fresh, delicious, and reasonably priced."
(anecdotes/miscellaneous),Love YUKA.
(anecdotes/miscellaneous),I've been here a couple of times and have not been impressed.
(anecdotes/miscellaneous),I got enough reasons to keep coming back!!!
(food#anecdotes/miscellaneous),The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.
(anecdotes/miscellaneous),This was a repeat visit and we'll definitely be back again.
(food#anecdotes/miscellaneous#anecdotes/miscellaneous),"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
(anecdotes/miscellaneous),Save yourself the time and trouble and skip this one!
(anecdotes/miscellaneous),I loving bringing friends here -and I do so every chance I get.
(anecdotes/miscellaneous),I've been many time and have never been disappointed.
(food),The spicy tuna and salmon are the best we've ever had.
(anecdotes/miscellaneous),Definately check it out!!!
(anecdotes/miscellaneous#service),"The food is terrible and overall, I would have to say avoid at all costs."
(anecdotes/miscellaneous),"Go, go, hurry, before everyone finds out about it."
