(egg custards#negative)(roast pork buns#negative)(turnip cake#negative),(food),"A few tips: skip the turnip cake, roast pork buns and egg custards."
(bagels#positive),(food),The bagels are fabulous.
,(anecdotes/miscellaneous),I never had anything I didn't like here.
,(anecdotes/miscellaneous),I definitely wouldn't go back.
(ambiance#positive)(food#positive),(service)(ambience)(food),"While the ambiance and atmosphere were great, the food and service could have been a lot better."
(waitress#positive),(service),"Our waitress was sweet and accomodating, not overbearing."
,(anecdotes/miscellaneous),I have tried literally every restaurant on curry row.
(rice#positive)(fish#positive)(seaweed#positive),(food),"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing."
,(anecdotes/miscellaneous),I went to this restaurant with a woman that I met recently.
(beverage selections#positive),(food),"Good spreads, great beverage selections and bagels really tasty."
(food options#neutral),(food),The food options rule.
(Japanese Tapas#positive),(food),Consistently good Japanese Tapas.
,(anecdotes/miscellaneous),I went to Ruby Foo's after work with a group of 6.
(sushi#negative),(food),The sushi was awful!
,(anecdotes/miscellaneous),My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.
,(ambience),Now it's so crowded and loud you can't even talk to the person next to you.
,(anecdotes/miscellaneous),"Go, go, hurry, before everyone finds out about it."
,(anecdotes/miscellaneous),I've been many time and have never been disappointed.
(food#positive),(food),The food was great.
,(anecdotes/miscellaneous),Don't leave without trying One Night in Tokyo.
,(anecdotes/miscellaneous),I would go back tho.
,(anecdotes/miscellaneous),Definately check it out!!!
,(anecdotes/miscellaneous),You cannot go wrong with this place.
,(anecdotes/miscellaneous),"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place."
,(anecdotes/miscellaneous),I loving bringing friends here -and I do so every chance I get.
(room#positive)(meal#positive),(ambience)(food),With the theater 2 blocks away we had a delicious meal in a beautiful room.
,(food),Even my Indian friend couldn't believe how good and tasty everything was.
,(anecdotes/miscellaneous),We were not dissappointed in the least bit by this little gem.
,(anecdotes/miscellaneous),A pleasant surprise.
,(anecdotes/miscellaneous),This was a repeat visit and we'll definitely be back again.
(pizza#positive),(price)(food),I love the fact that the pizza tastes so good and is so cheap.
(Service#positive),(service),"Service was prompt, friendly and great."
,(anecdotes/miscellaneous),OU MUST TRY THIS RESTAURANT.
,(anecdotes/miscellaneous),All pretty good.
,(anecdotes/miscellaneous),"Have eaten at Ginger House several times, and it's always good."
(salads#positive),(food),"I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil."
(service#negative),(service),Drawbacks: service is slow and they don't toast!
,(anecdotes/miscellaneous),It is by far my favorite restaurant in Brooklyn.
,(anecdotes/miscellaneous),I've been to Joya twice and I will never go again.
,(anecdotes/miscellaneous),A hearty two thumbs up!
,(anecdotes/miscellaneous),Great find!!!
,(anecdotes/miscellaneous),"If only they delivered, they'd make a mint!"
,(anecdotes/miscellaneous),Was surprisingly disappointed.
(prices#positive),(price),The prices were fantastic.
,(anecdotes/miscellaneous),I'm told that it is open 24hrs which is good.
,(anecdotes/miscellaneous),What more could you want?
,(anecdotes/miscellaneous),Excellent experience.
,(anecdotes/miscellaneous),Definitely a neighborhood favorite.
(food#neutral),(food),"The food is terrible and overall, I would have to say avoid at all costs."
(food#positive),(food),The food is prepared quickly and efficiently.
(food#positive),(price)(food),"The food is fresh, delicious, and reasonably priced."
,(anecdotes/miscellaneous),This is my favorite Italian restaurant in all of New York City.
,(anecdotes/miscellaneous),"Anyway, this is the last time I cross the williamsburg."
,(anecdotes/miscellaneous),I am bringing my whole family back next time.
,(anecdotes/miscellaneous),Love YUKA.
(waiter#neutral),(anecdotes/miscellaneous),"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry."
,(anecdotes/miscellaneous),I have been coming to this neighborhood spot for years.
,(anecdotes/miscellaneous),We will be back.
(outdoor atmosphere#positive)(outdoor atmosphere#neutral),(ambience),The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.
(toppings#positive),(price),"A large is $20, and toppings are about $3 each."
(spicy tuna#positive)(spicy tuna#neutral),(food),The spicy tuna and salmon are the best we've ever had.
,(anecdotes/miscellaneous),A guaranteeed delight!
(food#positive),(price)(ambience)(food),"The food was very good, a great deal, and the place its self was great."
(place#positive)(place#neutral)(food#positive),(ambience)(food),The food is usually good but it certainly isn't a relaxing place to go.
(dance floor#positive)(dinner#positive),(ambience),"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY."
(server#positive),(service),The server was really cool and served us our food and drinks with a smile.
(large whole shrimp#negative)(pistachio ice cream#positive)(large whole shrimp#positive)(lamb sausages#positive),(food),"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had)."
(office lunch#neutral),(anecdotes/miscellaneous),Went there for an office lunch.
(dinner#positive),(anecdotes/miscellaneous),"We've only eaten in the restaurant once, but we have ordered many times for dinner."
